Epoch,Generator_Loss,Discriminator_Loss
1,1.7866508229573568,0.022946028869288662
2,1.357579180399577,0.02518603825010359
3,1.1655973815917968,0.025946527978715796
4,1.0530210240681965,0.017211804203689098
5,0.9858762359619141,0.021705769455681246
6,0.9499961312611898,0.03724568433593958
7,0.8879060554504394,0.02296731078842034
8,0.8729237206776936,0.007258091208835443
9,0.8272919432322184,0.007075522126009067
10,0.8078208144505818,0.007922024884416411
11,0.7836144685745239,0.011047500264830888
12,0.7788208166758219,0.00374106014923503
13,0.7395655997594197,0.005205861669965089
14,0.7120883830388387,0.004864091835916042
15,0.7027080742518107,0.006511719574530919
16,0.6803146266937256,0.018747541893584033
17,0.6544770812988281,0.0037230782955884932
18,0.6405050690968831,0.0012992410687729717
19,0.6223294035593668,0.004197353764126699
20,0.6188687006632487,0.0027261497313156723
21,0.5917458168665568,0.0035244822789294024
22,0.5815107758839925,0.006052877143180618
23,0.5844952456156413,0.0018479586400402088
24,0.5733718808492024,0.00463543786512067
25,0.556539732615153,0.004300943681349357
26,0.536418948173523,0.004162880006867151
27,0.5193697865804037,0.004769692535046488
28,0.5089495102564494,0.004711919454857707
29,0.503299773534139,0.006197625348965327
30,0.49850001494089763,0.003172555967854957
31,0.49075984001159667,0.004205223650981983
32,0.47850551128387453,0.0009314793076676628
33,0.48116959889729816,0.002994305615623792
34,0.4682166067759196,0.002388093357440084
35,0.46764276186625164,0.004464310155405353
36,0.46392271836598714,0.001227832749330749
37,0.448223729133606,0.0038572449097409845
38,0.4390247170130412,0.002243394725956023
39,0.4412263814608256,0.003344021684800585
40,0.4347128939628601,0.004944108426570892
41,0.4195864144961039,0.005284143288930257
42,0.41096218188603717,0.0056660054484382275
43,0.4008618760108948,0.00026366087064767877
44,0.3994359755516052,0.004258951537388687
45,0.3940142027537028,0.002137927325287213
46,0.39490192333857216,0.0020415903255343437
47,0.3764333724975586,0.0020772248848030966
48,0.3687538472811381,0.0018765138795909782
49,0.37017269055048624,0.0030285321773650745
50,0.3692675312360128,0.0023042680788785217
51,0.37227341254552204,0.0032507954048924146
